chembl_id,Actual pIC50_PubChem,pred pIC50_PubChem,Actual pIC50_MACCS,pred pIC50_MACCS,consensus_score,Cluster_ID
CHEMBL5838375,9.0,9.0,9.0,8.99759811,1.482687976032867,7
CHEMBL5746311,9.0,9.017068766704996,9.0,8.99759811,1.332998097156512,7
CHEMBL5753547,9.0,8.972965956243543,9.0,8.99759811,1.2484249711155948,7
CHEMBL5793815,9.0,8.968305832333229,9.0,8.99759811,1.2028683414162835,7
CHEMBL5772746,9.0,9.015873138557875,9.0,9.04797376,1.1446169426838315,7
CHEMBL5948391,9.0,9.015873138557875,9.0,9.04797376,1.1446169426838315,7
CHEMBL5822372,9.0,8.977176849739442,9.0,8.952493239,1.1038656704791574,7
CHEMBL5798615,9.0,9.0,9.0,8.935520026,0.8758225064321031,7
CHEMBL4577464,9.494850022,9.426272902562646,9.494850022,9.558254144,0.7775605100860352,7
CHEMBL5883843,9.0,9.01302322664978,9.0,8.928601296,0.6939748507993606,7
CHEMBL6031964,9.0,8.947397939085318,9.0,9.04797376,0.57121822759365,7
CHEMBL5823279,9.0,8.947397939085317,9.0,9.04797376,0.5712182275936335,7
CHEMBL6063226,9.086186148,9.043816330337425,9.086186148,8.965515389,0.5285302257494437,7
CHEMBL5971507,9.193820026,9.200739591600083,9.193820026,9.073992292,0.469056817308136,7
CHEMBL5751604,9.0,9.0,9.0,8.883786724,0.3700859793152465,7
CHEMBL5972369,9.0,9.0,9.0,8.883786724,0.3700859793152465,7
CHEMBL5763926,8.823908741,8.714282614047342,8.823908741,8.78866955,0.3532354191798073,6
CHEMBL5843298,8.214670165,8.144893714558725,8.214670165,8.156377362,0.1926310272584023,3
CHEMBL5896368,8.113509275,8.098671594216938,8.113509275,8.057179853,0.1040483504920114,2
CHEMBL6040868,8.30980392,8.259589713113298,8.30980392,8.223365202,0.1034638371256143,2
CHEMBL5781472,7.931814138,7.886367710678424,7.931814138,7.898107701,0.07900167777616,6
CHEMBL4440280,7.638272164,7.644575518218366,7.638272164,7.649356581,0.0625196584911234,1
CHEMBL5406334,8.0,8.0,8.0,7.943611268,-0.0511074290681999,5
CHEMBL5399467,8.0,8.0,8.0,7.934503705,-0.1401415155086484,5
CHEMBL5434209,8.0,8.0,8.0,7.934503705,-0.1401415155086484,5
CHEMBL5428105,8.0,8.0,8.0,7.934503705,-0.1401415155086484,5
CHEMBL5416195,8.0,7.96044935869351,8.0,7.918504136,-0.1889092984359393,5
CHEMBL5417119,8.0,8.0,8.0,7.928971065,-0.1942277236418139,5
CHEMBL5413623,8.0,8.0,8.0,7.927309959,-0.2104664315366445,5
CHEMBL6037819,7.958607315,7.899176830995453,7.958607315,7.970206476,-0.2242078026536451,6
CHEMBL5435046,8.0,7.894548611111112,8.0,7.89875,-0.2551730488287511,5
CHEMBL5425827,8.0,7.894548611111112,8.0,7.89875,-0.2551730488287511,5
CHEMBL5428351,8.0,7.940208333333333,8.0,7.90274553,-0.2878747270686561,5
CHEMBL5859558,8.15490196,8.131026189581968,8.15490196,8.047244434,-0.3314866358397542,6
CHEMBL5843154,7.795880017,7.899176830995453,7.795880017,7.870566948,-0.3326984099609336,6
CHEMBL6005952,7.754487332,7.707972367010353,7.754487332,7.680342269,-0.3450876312626503,6
CHEMBL5972574,7.522878745,7.497283079337485,7.522878745,7.537686885,-0.3599415626818104,1
CHEMBL5778117,7.585026652,7.671565740093748,7.585026652,7.669414779,-0.3616982604583175,1
CHEMBL5805746,7.402304814,7.439203453831219,7.402304814,7.410013367,-0.3960180636075355,6
CHEMBL5590816,7.356547324,7.383465018459304,7.356547324,7.399916095,-0.4271884885308654,4
CHEMBL4582309,7.488116639,7.519731428526381,7.488116639,7.473286304,-0.4370642377028793,1
CHEMBL4513700,7.638272164,7.571584558800482,7.638272164,7.558753766,-0.4596302073637054,1
CHEMBL5956201,8.187086643,8.144754943525784,8.187086643,8.057179853,-0.4663833291714557,2
CHEMBL5862777,8.568636236,8.650886011263603,8.568636236,8.48350352,-0.4813547932988309,6
CHEMBL4475850,7.408935393,7.482487607040577,7.408935393,7.493894534,-0.5653876468158835,1
CHEMBL5832887,8.180456064,8.18499170913152,8.180456064,8.055011498,-0.584419061521468,6
CHEMBL5748715,7.522878745,7.480691625850143,7.522878745,7.448033423,-0.5967168336859876,1
CHEMBL5438231,8.0,8.0,8.0,7.887041621,-0.604123295211952,5
CHEMBL4463069,7.522878745,7.482487607040577,7.522878745,7.555369403,-0.6596521076762462,1
CHEMBL4483055,7.501689446,7.482487607040577,7.501689446,7.555369403,-0.6596521076762476,1
CHEMBL5747177,7.769551079,7.812818193808881,7.769551079,7.895361206,-0.6737453524512672,6
CHEMBL4516250,7.769551079,7.76256394107334,7.769551079,7.665849975,-0.7264475893804012,1
CHEMBL5398406,8.0,8.0,8.0,7.870779543,-0.7630987816679143,5
CHEMBL5980548,7.677780705,7.680841160140942,7.677780705,7.584428388,-0.7634590060377013,3
CHEMBL4475706,7.602059991,7.544925999427444,7.602059991,7.493894534,-0.8021109989968903,1
CHEMBL6005485,7.522878745,7.413293598433054,7.522878745,7.466463269,-0.8976037784950107,3
