component,normalized_eigenvalue
1,0.24061521960797816
2,0.15206495413775215
3,0.09786654948880141
4,0.07408256071743481
5,0.055061910925564235
6,0.036768873426697934
7,0.030343321327812756
8,0.028951529942678127
9,0.022454817982252802
10,0.01958792745348027
11,0.016530549440188565
12,0.01504860132169298
13,0.013890147979774371
14,0.01209154621068134
15,0.0112469134419639
16,0.009907722750744924
17,0.008795625212128394
18,0.00810681233256141
19,0.007191346670558647
20,0.006901674112302658
21,0.006294011292697331
22,0.006150576166928637
23,0.005534770364947127
24,0.005150513895533492
25,0.005080995780924447
26,0.004731627061843241
27,0.00441087112048204
28,0.00406014610189653
29,0.004044293820978116
30,0.0035925355244712646
31,0.0034411459742384304
32,0.0033609263270161904
33,0.0032717696306227826
34,0.003121421281969595
35,0.002853622082354388
36,0.002752907831219001
37,0.0026721980104222384
38,0.0026124179035042416
39,0.002302385632351684
40,0.00221032112304377
41,0.0021905018049031438
42,0.0021033668872038123
43,0.0020420596458741056
44,0.0019271781286404014
45,0.0018156124373097727
46,0.0017739336067039311
47,0.0016868414608400043
48,0.0016589445108019932
49,0.0015478731055321596
50,0.001450283410943199
51,0.0013183467528708032
52,0.0013112746963849769
53,0.0012717693876996125
54,0.001253990277638295
55,0.0011993341712136603
56,0.0011641208632668639
57,0.0011415791459958697
58,0.0010909832958737413
59,0.0010363715035031236
60,0.0010129450186606675
61,0.000997258591186375
62,0.0009419720912892563
63,0.0008959341634009023
64,0.000871917845376688
65,0.0008086567044867581
66,0.0007975585381824983
67,0.0007604294842088929
68,0.0007329756343289832
69,0.0007099107604949429
70,0.0006737424515686115
71,0.00065601440202433
72,0.0006476100249635042
73,0.0006113405890483531
74,0.0005873945585853483
75,0.0005555026890734288
76,0.0005324130359053065
77,0.0005182954311911446
78,0.0005087747944386728
79,0.0004916996958935198
80,0.00048281030487435614
81,0.0004557533969762887
82,0.00043734509741596744
83,0.00041779723718204844
84,0.00040794038730238854
85,0.00039460641276249333
86,0.00037804436447499756
87,0.00036586287716735655
88,0.0003429115073327314
89,0.00033634717246825785
90,0.0003234159920075841
91,0.0003103636613580994
92,0.00030117012807018257
93,0.00029560878973118246
94,0.0002882499914322102
95,0.00028416683957272783
96,0.00027112589487290526
97,0.0002489266643249779
98,0.00023112198041661775
99,0.00022991390164122045
100,0.0002226384491144011
101,0.00021496209681773427
102,0.00020859849506653567
103,0.00019914669954186316
104,0.00018279514780714597
105,0.00017810214603374241
106,0.00017473690963286327
107,0.00017278065643667583
108,0.00016148868428371823
109,0.000158434356307065
110,0.00015440000974209386
111,0.00014464521741803206
112,0.00014367160170941938
113,0.00013210593471164935
114,0.00012475392536134892
115,0.0001216198774381569
116,0.00011922026280981742
117,0.00010666227347179607
118,0.00010598095010698642
119,9.885797218884858e-05
120,9.398227319926534e-05
121,9.136727197162799e-05
122,8.845514478050085e-05
123,8.582884049005642e-05
124,8.323241152624469e-05
125,8.099455006935479e-05
126,7.321086362729473e-05
127,6.704173215851266e-05
128,6.55699391828976e-05
129,5.9466202488657e-05
130,5.8310645641458946e-05
131,5.374755328933348e-05
132,5.210713752116419e-05
133,5.0222237667624325e-05
134,4.4787025275679895e-05
135,4.37293680326535e-05
136,3.925756772677316e-05
137,3.472547457929533e-05
138,3.4070884002597954e-05
139,3.180663677521312e-05
140,2.8849798376488023e-05
141,2.8071369386124945e-05
142,2.592851564316092e-05
143,2.3130454637775852e-05
144,2.2689493296461736e-05
145,2.1948268105328456e-05
146,2.1008627047070618e-05
147,1.9989820616409936e-05
148,1.7767191488032175e-05
149,1.7338248616604252e-05
150,1.630594324727475e-05
151,1.5195774715399636e-05
152,1.4784386094212483e-05
153,1.3368709282250037e-05
154,1.2616506198105995e-05
155,1.2109125811183007e-05
156,1.0212810120623826e-05
157,9.215564296053042e-06
158,8.504318249966016e-06
159,7.552759461474821e-06
160,7.208839307288659e-06
161,6.618363203380181e-06
162,5.190685398717035e-06
163,4.798218790320695e-06
164,3.924005317440422e-06
165,3.315362583934905e-06
166,2.546218189527119e-06
167,1.9015827407693374e-06
168,1.049146903954098e-06
169,8.56687902770273e-07
170,2.32169579353363e-07
171,4.745298498747555e-32
172,3.118572817620558e-33
173,2.9899020745436207e-33
174,9.220904952189955e-34
175,9.220904952189955e-34
176,9.220904952189955e-34
177,9.220904952189955e-34
178,9.220904952189955e-34
179,9.220904952189955e-34
180,9.220904952189955e-34
181,9.220904952189955e-34
182,9.220904952189955e-34
183,9.220904952189955e-34
184,9.220904952189955e-34
185,9.220904952189955e-34
186,9.220904952189955e-34
187,9.220904952189955e-34
188,9.220904952189955e-34
189,9.220904952189955e-34
190,9.220904952189955e-34
191,7.244350300354931e-34
192,4.815391969620044e-34
193,2.8398540071629494e-34
