feature,importance
MACCSFP38,0.04088227055317409
MACCSFP54,0.035099485876860646
MACCSFP100,0.03175620962130636
MACCSFP152,0.028243373412595276
MACCSFP72,0.026469479558297405
MACCSFP150,0.024431999265524182
MACCSFP139,0.022959105376230665
MACCSFP154,0.022647484306664797
MACCSFP79,0.02200492121726762
MACCSFP132,0.02092643979503352
MACCSFP160,0.02030285594387438
MACCSFP62,0.020187005992225778
MACCSFP77,0.019803978850894705
MACCSFP131,0.019468150694518415
MACCSFP82,0.019058438367088874
MACCSFP149,0.01869004737834641
MACCSFP89,0.01827350688178704
MACCSFP126,0.018159761004829963
MACCSFP104,0.01783850047565796
MACCSFP84,0.017242920260766598
MACCSFP138,0.01704151330228762
MACCSFP93,0.016115810027725566
MACCSFP135,0.016106352446462316
MACCSFP86,0.016100028965400793
MACCSFP112,0.015612310150703279
MACCSFP92,0.015275185738032448
MACCSFP113,0.01526368749931303
MACCSFP57,0.014861064841482495
MACCSFP110,0.014787474999635309
MACCSFP117,0.014606460680096557
MACCSFP96,0.014509999485475454
MACCSFP83,0.014479385428580169
MACCSFP106,0.01445642080691436
MACCSFP146,0.014196891960655355
MACCSFP133,0.01414237372062821
MACCSFP136,0.013530786242197586
MACCSFP109,0.013403979533908214
MACCSFP116,0.013351424633296489
MACCSFP140,0.013139235287849348
MACCSFP91,0.012964691055273583
MACCSFP90,0.012900685972566795
MACCSFP65,0.012568091526163368
MACCSFP97,0.01251023999850442
MACCSFP128,0.011513653468746488
MACCSFP87,0.01101795392864846
MACCSFP130,0.010986074760884203
MACCSFP134,0.010729430941705236
MACCSFP52,0.01046748800270938
MACCSFP129,0.01029330548039365
MACCSFP107,0.010138747323223996
MACCSFP108,0.009874157714778346
MACCSFP127,0.009825972004092279
MACCSFP147,0.009806542156428861
MACCSFP143,0.009653002257863164
MACCSFP94,0.009599224044201764
MACCSFP78,0.009409554255526042
MACCSFP115,0.008864976399517338
MACCSFP124,0.008528391628252573
MACCSFP118,0.00847654930054449
MACCSFP155,0.00839825721111536
MACCSFP151,0.0077082569975987095
MACCSFP16,0.007534615989569896
MACCSFP53,0.007218649175850969
MACCSFP119,0.0070173061956903095
MACCSFP11,0.006567861626561045
